Newton Division,,`,,,,,,,,,,,,,,,,,,,,,,,,Statbotics Data,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Drive Train Info,General Robot Info,,,,,Robot Archetype,,,,,,,Fuel Capabilities,,,,Autonomous Mode Capabilities,,,,,Endgame Capability,Other / Misc.,General EPA,,,,Ranking Points EPA,,
Team Number (linked to The Blue Alliance),"Team Name
(linked to Statbotics)",Drive Train Type,"Robot Weight
(without Bumpers)",Bumper Weight,Robot Height,"Robot Width
(with Bumpers)",Robot Length (with Bumpers),Intake Type,Hopper Type,Max Hopper Capacity,Indexer Type,Shooter Type,Shooter Hood Type,Trench / Bump,Fuel Acquisition,Fuel Scoring Position,Fuel Passing,Max Balls Per Second (BPS),Neutral Zone Auto,"Preferred Starting Position for
Neutral Zone Auto",Alliance Zone Auto,"Preferred Starting Position for
Alliance Zone Auto",Auto Climb,Endgame Tower Climbing,Comments,EPA,Auto EPA,Teleop EPA,Endgame EPA,Energized RP EPA,Supercharged RP EPA,Traversal RP EPA
88,TJ²,,,,,,,,,,,,,Trench and Bump,,,,,,,,,,,,176.4,43.6,95.3,37.5,0.57,0.28,-0.3
148,Robowranglers,,,,,,,,,,,,,Trench and Bump,,,,,,,,,,,,170.0,32.6,95.0,42.4,0.71,0.05,-0.3
180,S.P.A.M.,COTS Swerve,109,20,21.5,33,33,Over-the-Bumper,Horizontal Extension Only,50-60 Fuel,Spindexer,Single Turret,Adjustable Hood (Single),Trench and Bump,Floor Only,Anywhere in Alliance Zone,From Anywhere On Field,10-15 BPS,2x Sweep-and-Score,Either Trench,,,No,None,,221.3,53.1,120.1,48.1,0.66,0.15,-0.3
195,CyberKnights,COTS Swerve,,,,,,Over-the-Bumper,Horizontal Extension Only,40-50 Fuel,Roller Conveyor,Drum Shooter (3+ Fuel Wide),Adjustable Hood (Single),Trench and Bump,Floor Only,Anywhere in Alliance Zone,From Neutral Zone Only,10-15 BPS,2x Sweep-and-Score,Either Trench,,,No,None,,205.9,58.1,103.0,44.7,0.62,0.63,-0.3
233,The Pink Team,COTS Swerve,,,30,,,Over-the-Bumper,Horizontal Extension Only,60-70 Fuel,Roller Conveyor,Drum Shooter (3+ Fuel Wide),Adjustable Hood (Single),Bump Only,Floor + Outpost,<15 Feet Away From Hub,From Neutral Zone Only,10-15 BPS,2x Sweep-and-Score,Either Bump,,,No,None,,128.1,16.1,70.1,41.9,0.56,-0.23,-0.3
341,Miss Daisy,COTS Swerve,,,,,,Over-the-Bumper,Fixed,<10 Fuel,Other,Single Turret,Adjustable Hood (Single),Trench and Bump,Floor Only,Anywhere in Alliance Zone,From Anywhere On Field,5-10 BPS,,,,,,,,179.2,37.0,104.2,38.0,0.74,0.14,-0.3
346,RoboHawks,,,,,,,,,,,,,Bump Only,,,,,,,,,,,,139.9,18.2,91.8,30.0,0.54,0.06,-0.3
386,Team Voltage,COTS Swerve,,,22,,,Over-the-Bumper,Horizontal Extension Only,40-50 Fuel,Spindexer,Single Turret,Adjustable Hood (Single),Trench and Bump,Floor Only,Anywhere in Alliance Zone,From Neutral Zone Only,5-10 BPS,2x Sweep-and-Score,Either Trench,,,No,None,,108.2,17.1,63.0,28.0,0.58,-0.09,-0.3
424,Rust Belt Robotics,,,,,,,,,,,,,Trench and Bump,,,,,,,,,,,,117.0,24.3,64.8,27.9,0.47,-0.17,-0.3
